ID,OE,Prisotnost,,,,
,SDT,212,,,,
,SDT,139,,,,
,SDT,211,,,,
,SDT,208,,,,
,SDT,210,,,,
,SDT,214,,,,
,SDT,211,,,,
,SDT,206,,,,
,SDT,205,,,,
,SDT,202,,,,
,SDT,220,,,,
,SDT,208,,,,
,SDT,223,,,,
,SDT,203,,,,
,SDT,86,,,,
,SDT,230,,,,
,SDT,204,,,,
,SDT,213,,,,
,SDT,216,,,,
,SDT,203,,,,
,SDT,183,,,,
,SDT,207,,,,
,SDT,213,,,,
,SDT,205,,,,
,SDT,214,,,,
,SDT,218,,,,
,SDT,213,,,,
,SDT,218,,,,
,SDT,212,,,,
,SDT,173,,,,
,SDT,16,,,,
