ID,OE,Prisotnost
,ODT NM,193.5
,ODT NM,158
,ODT NM,196
,ODT NM,214
,ODT NM,0
,ODT NM,210
,ODT NM,214
,ODT NM,197
,ODT NM,203
,ODT NM,213
,ODT NM,56
