ID,OE,Prisotnost
,ODT KP,46
,ODT KP,224
,ODT KP,0
,ODT KP,71
,ODT KP,223
,ODT KP,131
,ODT KP,219
,ODT KP,212
,ODT KP,213
,ODT KP,222
,ODT KP,226
,ODT KP,213
,ODT KP,212
,ODT KP,218
