ID,OE,Prisotnost
20989,ODT CE,164.4
21167,ODT CE,103.5
20737,ODT CE,210
83571203,ODT CE,203
20611,ODT CE,217
20701,ODT CE,73
83570425,ODT CE,213
21029,ODT CE,213
20525,ODT CE,196
20393,ODT CE,194
20279,ODT CE,156
20717,ODT CE,169
21107,ODT CE,209
20655,ODT CE,205
20577,ODT CE,212
20385,ODT CE,191.5
20283,ODT CE,231
20695,ODT CE,204
20909,ODT CE,184
83570439,ODT CE,206
20459,ODT CE,201
20509,ODT CE,200
20099,ODT CE,169.5
20575,ODT CE,182
