ID,OE,Prisotnost
,ODT NM,202
,ODT NM,64
,ODT NM,211
,ODT NM,222
,ODT NM,72
,ODT NM,217
,ODT NM,214
,ODT NM,70.5
,ODT NM,76
,ODT NM,215
,ODT NM,69
,ODT NM,74
