ID,OE,Prisotnost
20091,ODT KK,182
20143,ODT KK,105
20875,ODT KK,138
20175,ODT KK,147
21037,ODT KK,132
20781,ODT KK,151
20783,ODT KK,126
20537,ODT KK,159
,,
