ID,OE,Prisotnost
,ODT KR,73
,ODT KR,214
,ODT KR,221
,ODT KR,212
,ODT KR,216
,ODT KR,224
,ODT KR,223
,ODT KR,71
,ODT KR,65
,ODT KR,215
,ODT KR,224
,ODT KR,224
,ODT KR,217
